IMI;TAXAS_MULTAS_OUTROS_IMPOSTOS;FINANCIAMENTO_UNIAO_EUROPEIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;DSC_AUTARQUIA;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
6608.26;25881.55;132890.67;48755.07;7999.89;797442;T1_1007;8265.37;T1;1007;CASTANHEIRA DE PÊRA;50881.64;0;1045069.75;15100.37
52719.47;292999.51;0;772724.38;123814.29;4234787;T1_0502;303191.11;T1;0502;CASTELO BRANCO;1229432;0;7449100.92;1212157.54
11949.63;32559.19;183480.18;112372.61;40669.28;1481475;T1_0106;27194.51;T1;0106;CASTELO DE PAIVA;246859.75;0;2130620.74;106433.2
4567.03;13408.69;0;40080.39;9882.39;1028313;T1_1205;12222.28;T1;1205;CASTELO DE VIDE;124840.97;0;1274144.77;80910.41
17340.08;65996.48;972.46;179567.28;42614.76;2082915;T1_1803;53615.96;T1;1803;CASTRO DAIRE;455527.68;0;3207257.24;488274.82
24722.81;2021248.36;9624.74;2104871.2;8322.37;991476;T1_0804;50577.66;T1;0804;CASTRO MARIM;395432.04;0;3565579.11;64175.13
5389.89;18303.95;0;152843.41;22795.31;1490265;T1_0206;100683.6;T1;0206;CASTRO VERDE;187287.41;5670.66;1939245.61;108849.79
10255.31;48924.33;275883.63;133372.71;33924.84;1463748;T1_0903;40268.23;T1;0903;CELORICO DA BEIRA;176253.31;0;6478216.54;4428958.89
22532.63;68716.41;0;186862.18;47382.97;1904036;T1_0305;48230.17;T1;0305;CELORICO DE BASTO;433803.63;0;3778836.5;1254134.69
18961.87;12550.86;0;425910.6;26079.42;1847556;T1_1407;361731.86;T1;1407;CHAMUSCA;244595.47;6586.59;3408761.99;890699.92
95009.88;85521.14;1279557.13;566572.69;139416.5;3542796;T1_1703;246150.58;T1;1703;CHAVES;1673278.09;474.59;9360355.95;2298152.04
14536.82;62172.41;831648.5;134431.16;31031.3;2080515;T1_1804;26690.63;T1;1804;CINFÃES;81171.8;0;3872238.77;744472.31
385133.69;1427283.68;181099.85;4401008.57;553427.71;4655037;T1_0603;1959049.94;T1;0603;COIMBRA;579373.05;76113.55;18533737.17;8717218.7
23690.3;106280.15;379300.14;300192.39;54417.3;1128208;T1_0604;115804.64;T1;0604;CONDEIXA-A-NOVA;789281.92;0;3096461.41;499478.96
3914.43;9228.38;136641.51;153101.14;12990.6;854175;T1_1408;17855.55;T1;1408;CONSTÂNCIA;265937.16;109112.18;1699868.08;290013.27
15837.26;43752.95;11666.69;156620.03;40477.89;2732223;T1_1409;30503.13;T1;1409;CORUCHE;452802.48;26048.8;3589852.72;236540.52
290.1;431.31;66585.8;1734.59;1013.18;394473;T1_4901;0;T1;4901;CORVO;1810.71;0;468198.29;3594.19
89316.35;290660.67;106721.8;937076.74;154043.02;3302793;T1_0503;330849.3;T1;0503;COVILHÃ;629433.71;72207.4;5315784.23;339758.98
4066.59;9844.85;0;22867.75;2633.92;1249576;T1_1206;4654.91;T1;1206;CRATO;44983.79;1667.48;1415004.28;97576.74
8158.85;21433.65;34305;74434.47;11227.76;836439;T1_0207;33585.32;T1;0207;CUBA;105701.46;28.89;1210620.82;159740.89
63374.49;75393.98;87573.9;555438.94;68974.43;2202333;T1_1207;317792.08;T1;1207;ELVAS;911853.87;29903.96;4629980.6;872780.89
33834.54;176456.55;0;510629.82;75414.26;872283;T1_1410;195442.74;T1;1410;ENTRONCAMENTO;614970.93;29481.73;2893609.76;895726.01
66912.25;684201.18;25018.18;1248769.24;103676.36;1498659;T1_0107;333158.37;T1;0107;ESPINHO;944633.37;60821.08;5371206.46;1654126.67
43673.49;279379.17;0;907414.81;127786.85;1701423;T1_0306;456575.3;T1;0306;ESPOSENDE;418898.25;0;3323238.37;295502.31
46095.31;213960.83;1477.35;473110.76;98919.2;1840590;T1_0108;114098.75;T1;0108;ESTARREJA;1281663.01;36.67;3859221.74;262380.62
22322.29;79882.73;329705.27;239956.17;43795.69;1856247;T1_0704;93955.46;T1;0704;ESTREMOZ;499256.33;0;3696258.78;771094.01
47245.43;502686.6;700546.82;1531156.86;223405.82;3622236;T1_0705;694670.25;T1;0705;ÉVORA;867672.67;63148.76;8525125.92;1803513.57
111710.4;253726.46;537.11;973453.13;158220.76;3284789;T1_0307;419124.13;T1;0307;FAFE;1273244.75;30671.38;6450757.94;918733.95
138821.76;239328.93;12881.36;1567961.06;367058.62;1840845;T1_0805;822751.75;T1;0805;FARO;591586.65;0;5190899.39;1177625.32
109496.64;258702.67;1613597.88;1125119.66;174112.24;2886504;T1_1303;582808.11;T1;1303;FELGUEIRAS;1382336;0;10192956.72;3185399.18
10343.29;64788.57;0;337526.51;20117.2;1693581;T1_0208;190760.1;T1;0208;FERREIRA DO ALENTEJO;313576.85;51517.35;2662094.4;317410.04
26548.41;37381.86;0;346632.82;36752.17;1262613;T1_1411;245950.38;T1;1411;FERREIRA DO ZÊZERE;356533.33;0;2043324.44;77545.29
133056.7;398931.92;3940.06;1530494.72;240091.89;2556594;T1_0605;713114.76;T1;0605;FIGUEIRA DA FOZ;114127.1;45299.45;4700450.63;495294.75
1255.97;7218.61;2567.73;20126.43;4240.79;1756806;T1_0904;7411.06;T1;0904;FIGUEIRA DE CASTELO RODRIGO;150703.48;0;1955838.36;25634.72
15229.7;13743.21;25600;67181.15;19389.47;1174824;T1_1008;18818.77;T1;1008;FIGUEIRÓ DOS VINHOS;75674.04;0;1891430.47;548151.28
1312.37;44021.01;1528.43;65537.02;13974.8;1080357;T1_0905;-21.09;T1;0905;FORNOS DE ALGODRES;143331.94;6249.93;1313413.21;22658.82
2407.43;7658.45;835938.25;34254.37;7044;1260975;T1_0404;17144.49;T1;0404;FREIXO DE ESPADA À CINTA;98890.24;0;2886274.68;656216.82
3121.25;6270.07;189294.83;52396.93;6099.15;809451;T1_1208;34747.5;T1;1208;FRONTEIRA;138670.43;2158.96;1426698.48;236885.29
484291.98;1207331.9;0;3546484.64;425435.98;2695647;T1_3103;1429424.78;T1;3103;FUNCHAL;4516325.61;0;15987627.2;5229169.95
35336.12;160507.33;176481.59;444255.39;88983.76;2772822;T1_0504;143061.62;T1;0504;FUNDÃO;1400203.65;16366.56;6635370.64;1841608.01
3717.18;36605.68;273174.5;212586.05;8718.15;1049253;T1_1209;163545.04;T1;1209;GAVIÃO;170758.42;0;1871481.58;165709.61
6198.73;67837.07;58146.46;83274.53;7696.65;1198314;T1_0606;1542.08;T1;0606;GÓIS;276451.88;0;2200661.07;584474.2
6184.92;77800.3;38264.63;133125.39;16461.32;799851;T1_1412;26572.83;T1;1412;GOLEGÃ;121831.19;6106.02;1685366.04;592293.83
223389.58;1497064.53;0;3604234.22;505636.02;4781256;T1_1304;1280368.69;T1;1304;GONDOMAR;2204525.88;97775.4;14829395.49;4239379.39
15492.95;38765.01;52537.11;153191.47;43309.09;1795095;T1_0906;41588.88;T1;0906;GOUVEIA;178124.87;14035.54;2408164.82;229216.37
