DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
2117789.13;0;PINHEL;80594.16;616865.42;T2_0910;5761071.45;30619.13;1668017.71;T2;371493.97;4104945.36;0910;433568.01;288519.39;153604.53;1222558.08
4309198.73;218405.43;POMBAL;873787.03;1030793.31;T2_1015;16384898.15;30979.52;3637451.01;T2;1209344.98;9857059.78;1015;1147463.94;1879430.52;2048043.68;5380374.43
4209371.13;5878.75;PONTA DELGADA;26197.89;552391.26;T2_4203;15106962.45;102855;6108423.63;T2;139731.1;12458965.28;4203;1282338.56;2038315.52;641459.61;1365658.61
858500.12;3296;PONTA DO SOL;9280.66;639757.69;T2_3105;2805094.07;2463.25;776595.4;T2;4936.99;1871068.46;3105;238210.05;233509.69;38544.22;695815.56
1439430.37;0;PONTE DA BARCA;71614.47;297259.21;T2_1606;6545536.88;53548.06;2121344.17;T2;354517.28;4284173.25;1606;866677.83;669850.65;671294.84;1394685.8
4078048.67;429934.59;PONTE DE LIMA;438571.06;257189.76;T2_1607;12829527.95;2151.73;3948259.26;T2;445357.83;9978315.55;1607;870961.87;1949855.89;409197.29;1980250.53
1774728.73;35000;PONTE DE SOR;61598.38;109933.34;T2_1213;8891898.44;2369.18;2344128.29;T2;24411.96;5371319.69;1213;147340.48;1250093.49;3142294.59;3373238.27
2432246.72;151963.6;PORTALEGRE;44570.01;216310.99;T2_1214;8832775.94;103621.69;3189013.96;T2;328543.07;5975620.55;1214;1871453.62;250738.18;244314.1;985701.77
997301.78;10750;PORTEL;58307.21;7111;T2_0709;4199102.68;19317.16;1856903.47;T2;462637.35;3398134.28;0709;184813.95;524611.87;77348.89;616154.45
9053744.74;14539.93;PORTIMÃO;0;327113.4;T2_0811;27081521.66;2011451.22;7662150.69;T2;520780.74;23543807.2;0811;2146832.32;4816460.55;528448.07;1390882.14
20506284.24;948418.61;PORTO;653478.06;1325608.69;T2_1312;68883270.42;1287797.59;30588560.03;T2;1104830.92;57628205.73;1312;6234082.94;5245563.87;988645.47;5020981.75
2560704.23;10648.8;PORTO DE MÓS;122646.9;103793.41;T2_1016;6259532.32;11992.68;2450348.87;T2;75927.77;5408759.56;1016;242901.4;385713.78;294854.48;607871.36
575620.57;0;PORTO MONIZ;0;1951.51;T2_3106;1663147.14;15926.81;609732.71;T2;0;1439535.05;3106;181945.54;238254.96;39715.04;41666.55
406115.98;1740.28;PORTO SANTO;527.03;0;T2_3201;1720729.32;23779.47;1024398.17;T2;0;1562203.79;3201;150709.42;107910.17;5548.8;7816.11
2044902.21;20000;PÓVOA DE LANHOSO;160055.01;160995.6;T2_0309;7498688.33;57723.02;2042957.97;T2;656755.48;4811435.29;0309;708108.32;665852.09;981338.63;1979144.72
7092682.12;549793.45;PÓVOA DE VARZIM;387830.51;1966255.09;T2_1313;22632617.06;121141.36;6331868.68;T2;1540631.01;15185689.87;1313;1942912.57;1639997.71;1059504.56;5504014.62
